Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Threads_Suits,Chrome 130.0.0.0,,,01-11-2024 15:55:57,01-11-2024 16:10:15,14m - 17.498s,PASSED
,,,,,,,
"Test Cases/Threads_Webshop/1 Registration/TC-73,31-Verify the registration",Chrome 130.0.0.0,"Verify Registraion with Blank, Invalid and valid scenario",,01-11-2024 15:55:57,01-11-2024 15:57:00,1m - 2.740s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.010s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMddHHmmss"")",Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.007s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.006s,PASSED
"uniqueEmail = ""tester_"" + dateTimeString + ""@mailinator.com""",Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.007s,PASSED
"println(""Generated unique email: "" + uniqueEmail)",Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.007s,PASSED
"screenshotFolderPath = ""screenshots/regestration_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.003s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:55:58,0.003s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,01-11-2024 15:55:58,01-11-2024 15:56:21,22.729s,PASSED
"takeScreenshot(screenshotFolderPath + ""enter_password.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:21,01-11-2024 15:56:22,1.419s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/button_Enter""))",Chrome 130.0.0.0,,,01-11-2024 15:56:22,01-11-2024 15:56:23,0.909s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,01-11-2024 15:56:23,01-11-2024 15:56:23,0.275s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:23,01-11-2024 15:56:24,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,01-11-2024 15:56:24,01-11-2024 15:56:27,3.253s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Create account""))",Chrome 130.0.0.0,,,01-11-2024 15:56:27,01-11-2024 15:56:28,0.866s,PASSED
"takeScreenshot(screenshotFolderPath + ""create_account_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:28,01-11-2024 15:56:28,0.306s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Create account""))",Chrome 130.0.0.0,,,01-11-2024 15:56:28,01-11-2024 15:56:29,1.049s,PASSED
"takeScreenshot(screenshotFolderPath + ""account_page.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:29,01-11-2024 15:56:30,0.957s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,01-11-2024 15:56:30,01-11-2024 15:56:30,0.266s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,01-11-2024 15:56:30,01-11-2024 15:56:32,1.760s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:32,01-11-2024 15:56:33,0.896s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:33,01-11-2024 15:56:33,0.257s,PASSED
"verifyTextPresent(error_msg3, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:33,01-11-2024 15:56:34,0.263s,PASSED
"takeScreenshot(screenshotFolderPath + ""blank_fields.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:34,01-11-2024 15:56:34,0.315s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Create account_customerfirst_name""), f_name)",Chrome 130.0.0.0,,,01-11-2024 15:56:34,01-11-2024 15:56:35,0.984s,PASSED
