Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Final TestSuit,Chrome 130.0.0.0,,,04-11-2024 22:38:46,04-11-2024 23:22:28,43m - 42.103s,ERROR
,,,,,,,
"Test Cases/Threads_Webshop/1 Registration/TC-73,31-Verify the registration",Chrome 130.0.0.0,"Verify Registraion with Blank, Invalid and valid scenario",,04-11-2024 22:38:46,04-11-2024 22:39:46,1m - 0.271s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.009s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMddHHmmss"")",Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.008s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.004s,PASSED
"uniqueEmail = ""tester_"" + dateTimeString + ""@mailinator.com""",Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.005s,PASSED
"println(""Generated unique email: "" + uniqueEmail)",Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.004s,PASSED
"screenshotFolderPath = ""screenshots/regestration_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.002s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:38:47,0.003s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,04-11-2024 22:38:47,04-11-2024 22:39:02,15.690s,PASSED
"takeScreenshot(screenshotFolderPath + ""enter_password.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:02,04-11-2024 22:39:04,1.735s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/button_Enter""))",Chrome 130.0.0.0,,,04-11-2024 22:39:04,04-11-2024 22:39:05,0.662s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:05,04-11-2024 22:39:05,0.325s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:05,04-11-2024 22:39:05,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:05,04-11-2024 22:39:09,3.491s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Create account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:09,04-11-2024 22:39:10,1.143s,PASSED
"takeScreenshot(screenshotFolderPath + ""create_account_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:10,04-11-2024 22:39:10,0.361s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Create account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:10,04-11-2024 22:39:13,2.104s,PASSED
"takeScreenshot(screenshotFolderPath + ""account_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:13,04-11-2024 22:39:13,0.915s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,04-11-2024 22:39:13,04-11-2024 22:39:14,0.346s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,04-11-2024 22:39:14,04-11-2024 22:39:16,1.837s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:16,04-11-2024 22:39:17,1.215s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:17,04-11-2024 22:39:17,0.304s,PASSED
"verifyTextPresent(error_msg3, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:17,04-11-2024 22:39:18,0.300s,PASSED
"takeScreenshot(screenshotFolderPath + ""blank_fields.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:18,04-11-2024 22:39:18,0.581s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Create account_customerfirst_name""), f_name)",Chrome 130.0.0.0,,,04-11-2024 22:39:18,04-11-2024 22:39:19,0.784s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_First name_customerlast_name""), l_name)",Chrome 130.0.0.0,,,04-11-2024 22:39:19,04-11-2024 22:39:20,0.744s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Last name_customeremail""), uniqueEmail)",Chrome 130.0.0.0,,,04-11-2024 22:39:20,04-11-2024 22:39:20,0.789s,PASSED
"takeScreenshot(screenshotFolderPath + ""without_passwordBefore.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:20,04-11-2024 22:39:21,0.399s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,04-11-2024 22:39:21,04-11-2024 22:39:23,1.718s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:23,04-11-2024 22:39:23,0.942s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:23,04-11-2024 22:39:24,0.324s,PASSED
"takeScreenshot(screenshotFolderPath + ""without_passwordAfter.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:24,04-11-2024 22:39:24,0.379s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Create account_customerfirst_name""), f_name)",Chrome 130.0.0.0,,,04-11-2024 22:39:24,04-11-2024 22:39:25,1.169s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_First name_customerlast_name""), l_name)",Chrome 130.0.0.0,,,04-11-2024 22:39:25,04-11-2024 22:39:26,0.703s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Last name_customeremail""), ""tester1234mailinator.com"")",Chrome 130.0.0.0,,,04-11-2024 22:39:26,04-11-2024 22:39:27,0.748s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Email_customerpassword""), ""UDMlkmqWREzH+mr49N5wRw=="")",Chrome 130.0.0.0,,,04-11-2024 22:39:27,04-11-2024 22:39:27,0.439s,PASSED
"takeScreenshot(screenshotFolderPath + ""wrong_emailBefore.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:27,04-11-2024 22:39:28,0.375s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,04-11-2024 22:39:28,04-11-2024 22:39:30,2.040s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:30,04-11-2024 22:39:31,0.961s,PASSED
"verifyTextPresent(error_msg4, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:31,04-11-2024 22:39:31,0.298s,PASSED
"takeScreenshot(screenshotFolderPath + ""wrong_emailAfter.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:31,04-11-2024 22:39:31,0.383s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Create account_customerfirst_name""), l_name)",Chrome 130.0.0.0,,,04-11-2024 22:39:31,04-11-2024 22:39:32,1.153s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_First name_customerlast_name""), ""Sing"")",Chrome 130.0.0.0,,,04-11-2024 22:39:32,04-11-2024 22:39:33,0.714s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Last name_customeremail""), uniqueEmail)",Chrome 130.0.0.0,,,04-11-2024 22:39:33,04-11-2024 22:39:34,0.785s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Email_customerpassword""), ""UDMlkmqWREzH+mr49N5wRw=="")",Chrome 130.0.0.0,,,04-11-2024 22:39:34,04-11-2024 22:39:34,0.434s,PASSED
"takeScreenshot(screenshotFolderPath + ""correctBefore.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:34,04-11-2024 22:39:35,0.363s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,04-11-2024 22:39:35,04-11-2024 22:39:37,2.631s,PASSED
"takeScreenshot(screenshotFolderPath + ""correctAfter.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:37,04-11-2024 22:39:39,1.845s,PASSED
"verifyTextPresent(verify_home_page, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:39,04-11-2024 22:39:40,0.571s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_page_post_login.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:40,04-11-2024 22:39:41,0.778s,PASSED
"click(findTestObject(""Object Repository/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:41,04-11-2024 22:39:42,1.289s,PASSED
"takeScreenshot(screenshotFolderPath + ""logout.png"")",Chrome 130.0.0.0,,,04-11-2024 22:39:42,04-11-2024 22:39:43,0.912s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Account  Threads/a_Log out""))",Chrome 130.0.0.0,,,04-11-2024 22:39:43,04-11-2024 22:39:45,2.025s,PASSED
"verifyTextPresent(verify_home_page, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:45,04-11-2024 22:39:46,0.942s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,04-11-2024 22:39:46,04-11-2024 22:39:46,0.704s,PASSED
,,,,,,,
Test Cases/Threads_Webshop/2 Login/Verify Login,Chrome 130.0.0.0,,,04-11-2024 22:39:46,04-11-2024 22:40:30,43.382s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:47,0.000s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMddHHmmss"")",Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:47,0.000s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:47,0.000s,PASSED
"screenshotFolderPath = ""screenshots/login_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:47,0.000s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:47,0.000s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,04-11-2024 22:39:47,04-11-2024 22:39:57,10.066s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Threads/svg_Search_icon icon-account""))",Chrome 130.0.0.0,,,04-11-2024 22:39:57,04-11-2024 22:39:59,1.758s,PASSED
"verifyTextPresent(login_page, false)",Chrome 130.0.0.0,,,04-11-2024 22:39:59,04-11-2024 22:40:00,0.959s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:00,04-11-2024 22:40:00,0.329s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,04-11-2024 22:40:00,04-11-2024 22:40:02,1.869s,PASSED
"takeScreenshot(screenshotFolderPath + ""login_page_after.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:02,04-11-2024 22:40:03,1.006s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:03,04-11-2024 22:40:03,0.322s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:03,04-11-2024 22:40:03,0.280s,PASSED
"setText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Login_customeremail""), invalidemail)",Chrome 130.0.0.0,,,04-11-2024 22:40:03,04-11-2024 22:40:04,0.894s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Email_customerpassword""), validpassword)",Chrome 130.0.0.0,,,04-11-2024 22:40:04,04-11-2024 22:40:05,0.368s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_email_before.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:05,04-11-2024 22:40:05,0.398s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,04-11-2024 22:40:05,04-11-2024 22:40:07,1.701s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:07,04-11-2024 22:40:08,1.152s,PASSED
"verifyTextPresent(error_msg2, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:08,04-11-2024 22:40:08,0.296s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_email_after.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:08,04-11-2024 22:40:09,0.361s,PASSED
"setText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Login_customeremail""), validemail)",Chrome 130.0.0.0,,,04-11-2024 22:40:09,04-11-2024 22:40:10,0.959s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/input_Email_customerpassword""), invalidpass)",Chrome 130.0.0.0,,,04-11-2024 22:40:10,04-11-2024 22:40:10,0.417s,PASSED
"takeScreenshot(screenshotFolderPath + ""invalid_password_before.png"")",Chrome 130.0.0.0,,,04-11-2024 22:40:10,04-11-2024 22:40:10,0.364s,PASSED
"click(findTestObject(""Object Repository/Login_An/Login with Invalid Credentials/Page_Account  Threads/button_Sign in""))",Chrome 130.0.0.0,,,04-11-2024 22:40:10,04-11-2024 22:40:13,2.246s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,04-11-2024 22:40:13,04-11-2024 22:40:14,0.862s,PASSED
